Headline,Author,PostDate,Content,URL
Bill Gates jokes about why Microsoft retired Internet Explorer. ‘I guess we finally ran out of...,Fortune via Yahoo Finance,· 12 hours ago,"The billionaire Microsoft co-founder, Bill Gates, has been the target of conspiracy theories that...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAw2LQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fbill-gates-jokes-why-microsoft-152201714.html%3ffr%3dsycsrp_catchall/RK=2/RS=z5bpoRaKKycYWTB3kCf8CBrMer0-
Bill Gates Mocks NFTs and the Usefulness of ‘Expensive Digital Images of Monkeys’,Complex,· 9 hours ago,"Bill Gates doesn’t seem very impressed with the proliferation of NFTS, nor with the...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAxWLQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.complex.com%2flife%2fbill-gates-mocks-nfts-and-usefulness-expensive-digital-images-of-monkeys/RK=2/RS=H_sKVGag0X0yPCxR9ecpEyR8tgc-
"Bill Gates on economic turbulence, crypto and whether we can still avoid climate disaster",TechCrunch,· 2 days ago,"At this year’s TechCrunch Sessions: Climate 2022, Bill Gates joined me on stage in a far-ranging...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAx2LQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2022%2f06%2f14%2fbill-gates-on-economic-turbulence-crypto-and-whether-we-can-still-avoid-climate-disaster%2f/RK=2/RS=.nRafBZm8cBwCwoQ7lKSGJ7FBuY-
Why Does Bill Gates Think Crypto Is Based on the Greater-Fool Theory?,InvestorPlace,· 1 day ago,Bill Gates criticized crypto and NFTs in a recent interview. This saw him calling NFTs the execution...,https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAyWLQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2finvestorplace.com%2f2022%2f06%2fwhy-does-bill-gates-think-crypto-is-based-on-the-greater-fool-theory%2f/RK=2/RS=IsCspll_uDQ8prXzHOKZPF7QEdc-
Bill Gates says crypto and NFTs are '100% based on greater fool theory',CNBC,· 2 days ago,Bill Gates is not a fan of cryptocurrencies or non-fungible tokens. Speaking at a TechCrunch talk on...,https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAy2LQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.cnbc.com%2f2022%2f06%2f15%2fbill-gates-says-crypto-and-nfts-are-based-on-greater-fool-theory.html/RK=2/RS=7j_32ZEJL0qXrIaKym4wILJv94Y-
Bill Gates' anti-cryptocurrency comments could make crypto even more popular | Boing Boing,Boing Boing,· 8 hours ago,"In a recent interview at TechCrunch 2022, Bill Gates once again expressed his opposition to...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAzWLQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fboingboing.net%2f2022%2f06%2f16%2fbill-gates-anti-cryptocurrency-comments-could-make-crypto-even-more-popular.html/RK=2/RS=uWrkpBz0vCiDZh73tSbgNP7JKfU-
Bill Gates sees crypto and NFTs as shams - EconoTimes,EconoTimes,· 3 hours ago,"Bill Gates claimed that cryptocurrency and NFT trends are ""100% based on greater fool theory,""...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAAz2LQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.econotimes.com%2fBill-Gates-says-crypto-and-NFTs-are-a-sham-1635520/RK=2/RS=qLakqgr.WJBn0Ruj7We75saeXa0-
Bill Gates Tweets Joke About Microchips Conspiracy Theory,Snopes,· 1 day ago,"Microsoft Co-Founder Bill Gates tweeted the joke, “I guess we finally ran out of microchips,” in...",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAA0WLQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.snopes.com%2ffact-check%2fbill-gates-microchips-tweet%2f/RK=2/RS=KQJbxWagr2Gzm.5IfjoIEr9zn3Q-
Bill Gates is Getting as Snarky as Elon Musk,TheStreet.com,· 1 day ago,Microsoft co-founder uses the retirement of Internet Explorer to troll conspiracy nutjobs.,https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAA02LQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.thestreet.com%2finvesting%2fbill-gates-is-getting-as-snarky-as-elon-musk/RK=2/RS=Huz8aviyfMrxCRM9oNDeG2T2N4I-
Bill Gates Jokes Internet Explorer Shutdown is Because Microsoft ‘Ran Out of Microchips’,MSN News,· 13 hours ago,"Bill Gates knows all about the conspiracies surrounding him, and he’s in on the joke.",https://r.search.yahoo.com/_ylt=AwrXnCDT8qtijDAA1WLQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1655464787/RO=10/RU=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fnews%2fbill-gates-jokes-internet-explorer-shutdown-is-because-microsoft-ran-out-of-microchips%2fvi-AAYxDi3/RK=2/RS=uBpVAXZRhuNBAoBy10XLxOOKJdw-
Bill Gates jokes about why Microsoft retired Internet Explorer. ‘I guess we finally ran out of...,Fortune via Yahoo Finance,· 12 hours ago,"The billionaire Microsoft co-founder, Bill Gates, has been the target of conspiracy theories that...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAjV7QtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fbill-gates-jokes-why-microsoft-152201714.html%3ffr%3dsycsrp_catchall/RK=2/RS=eCyOZl.DOV0qmiR88vrhLSEMS8c-
Bill Gates Mocks NFTs and the Usefulness of ‘Expensive Digital Images of Monkeys’,Complex,· 9 hours ago,"Bill Gates doesn’t seem very impressed with the proliferation of NFTS, nor with the...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAj17QtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.complex.com%2flife%2fbill-gates-mocks-nfts-and-usefulness-expensive-digital-images-of-monkeys/RK=2/RS=0L9ywSRIoXDXIcZunxwzTOIhC.8-
"Bill Gates on economic turbulence, crypto and whether we can still avoid climate disaster",TechCrunch,· 2 days ago,"At this year’s TechCrunch Sessions: Climate 2022, Bill Gates joined me on stage in a far-ranging...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAkV7QtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2022%2f06%2f14%2fbill-gates-on-economic-turbulence-crypto-and-whether-we-can-still-avoid-climate-disaster%2f/RK=2/RS=yEFjx5X.kn3wYMCtj4P7s0X_T4s-
Why Does Bill Gates Think Crypto Is Based on the Greater-Fool Theory?,InvestorPlace,· 1 day ago,Bill Gates criticized crypto and NFTs in a recent interview. This saw him calling NFTs the execution...,https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAk17QtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2finvestorplace.com%2f2022%2f06%2fwhy-does-bill-gates-think-crypto-is-based-on-the-greater-fool-theory%2f/RK=2/RS=yGY5MOf30QM6ix91mrSn4SH_Z9A-
Bill Gates says crypto and NFTs are '100% based on greater fool theory',CNBC,· 2 days ago,Bill Gates is not a fan of cryptocurrencies or non-fungible tokens. Speaking at a TechCrunch talk on...,https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAlV7QtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.cnbc.com%2f2022%2f06%2f15%2fbill-gates-says-crypto-and-nfts-are-based-on-greater-fool-theory.html/RK=2/RS=KZSghSHaZn2Te803uRLYKuBFKmI-
Bill Gates' anti-cryptocurrency comments could make crypto even more popular | Boing Boing,Boing Boing,· 8 hours ago,"In a recent interview at TechCrunch 2022, Bill Gates once again expressed his opposition to...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAl17QtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fboingboing.net%2f2022%2f06%2f16%2fbill-gates-anti-cryptocurrency-comments-could-make-crypto-even-more-popular.html/RK=2/RS=d2mYYJdKW2AAjlirIjJoS70WkFc-
Bill Gates sees crypto and NFTs as shams - EconoTimes,EconoTimes,· 3 hours ago,"Bill Gates claimed that cryptocurrency and NFT trends are ""100% based on greater fool theory,""...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAmV7QtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.econotimes.com%2fBill-Gates-says-crypto-and-NFTs-are-a-sham-1635520/RK=2/RS=ZuUxBS8rhpeUoLd22tGha4Pen_s-
Bill Gates Tweets Joke About Microchips Conspiracy Theory,Snopes,· 1 day ago,"Microsoft Co-Founder Bill Gates tweeted the joke, “I guess we finally ran out of microchips,” in...",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAm17QtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.snopes.com%2ffact-check%2fbill-gates-microchips-tweet%2f/RK=2/RS=9usTGpNrYXkQ416Cc5.MJeZhkWg-
Bill Gates is Getting as Snarky as Elon Musk,TheStreet.com,· 1 day ago,Microsoft co-founder uses the retirement of Internet Explorer to troll conspiracy nutjobs.,https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAnV7QtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.thestreet.com%2finvesting%2fbill-gates-is-getting-as-snarky-as-elon-musk/RK=2/RS=SflD2r0K1cp_cdxOfe77LxHg3Ls-
Bill Gates Jokes Internet Explorer Shutdown is Because Microsoft ‘Ran Out of Microchips’,MSN News,· 13 hours ago,"Bill Gates knows all about the conspiracies surrounding him, and he’s in on the joke.",https://r.search.yahoo.com/_ylt=AwrXnCfa8qtiKEwAn17QtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1655464794/RO=10/RU=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fnews%2fbill-gates-jokes-internet-explorer-shutdown-is-because-microsoft-ran-out-of-microchips%2fvi-AAYxDi3/RK=2/RS=uPiOCOVQYcdXAYYBigNf1_iQlCU-
Bill Gates jokes about why Microsoft retired Internet Explorer. ‘I guess we finally ran out of...,Fortune via Yahoo Finance,· 12 hours ago,"The billionaire Microsoft co-founder, Bill Gates, has been the target of conspiracy theories that...",https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAdmjQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fbill-gates-jokes-why-microsoft-152201714.html%3ffr%3dsycsrp_catchall/RK=2/RS=z9JwGZFDmHlqnJ.eN231Tg42hF4-
Bill Gates Mocks NFTs and the Usefulness of ‘Expensive Digital Images of Monkeys’,Complex,· 9 hours ago,"Bill Gates doesn’t seem very impressed with the proliferation of NFTS, nor with the...",https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAeGjQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2fwww.complex.com%2flife%2fbill-gates-mocks-nfts-and-usefulness-expensive-digital-images-of-monkeys/RK=2/RS=kELPOB342kv4IcWEY4QOjBsTOUw-
"Bill Gates on economic turbulence, crypto and whether we can still avoid climate disaster",TechCrunch,· 2 days ago,"At this year’s TechCrunch Sessions: Climate 2022, Bill Gates joined me on stage in a far-ranging...",https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAemjQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2022%2f06%2f14%2fbill-gates-on-economic-turbulence-crypto-and-whether-we-can-still-avoid-climate-disaster%2f/RK=2/RS=GUAakj4SQUgHUBc7cl1TdHp7lH4-
Why Does Bill Gates Think Crypto Is Based on the Greater-Fool Theory?,InvestorPlace,· 1 day ago,Bill Gates criticized crypto and NFTs in a recent interview. This saw him calling NFTs the execution...,https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAfGjQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2finvestorplace.com%2f2022%2f06%2fwhy-does-bill-gates-think-crypto-is-based-on-the-greater-fool-theory%2f/RK=2/RS=sx.6TeB1fUnU3wSId9XyLs6X29s-
Bill Gates says crypto and NFTs are '100% based on greater fool theory',CNBC,· 2 days ago,Bill Gates is not a fan of cryptocurrencies or non-fungible tokens. Speaking at a TechCrunch talk on...,https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAfmjQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2fwww.cnbc.com%2f2022%2f06%2f15%2fbill-gates-says-crypto-and-nfts-are-based-on-greater-fool-theory.html/RK=2/RS=d3MjDbmaj0MFcH2gccrwcw6VpsY-
Bill Gates' anti-cryptocurrency comments could make crypto even more popular | Boing Boing,Boing Boing,· 8 hours ago,"In a recent interview at TechCrunch 2022, Bill Gates once again expressed his opposition to...",https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAgGjQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2fboingboing.net%2f2022%2f06%2f16%2fbill-gates-anti-cryptocurrency-comments-could-make-crypto-even-more-popular.html/RK=2/RS=hkeqLPbLePwE_M5.88umSskQsdQ-
Bill Gates sees crypto and NFTs as shams - EconoTimes,EconoTimes,· 3 hours ago,"Bill Gates claimed that cryptocurrency and NFT trends are ""100% based on greater fool theory,""...",https://r.search.yahoo.com/_ylt=AwrXnCLj8qtitkIAgmjQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1655464804/RO=10/RU=https%3a%2f%2fwww.econotimes.com%2fBill-Gates-says-crypto-and-NFTs-are-a-sham-1635520/RK=2/RS=F4Px6ez4_loNtE_9UqLOyMwVthI-
